genre,wiki_title,confidence,source
frauenrap,,none,unmatched
schweizer rap,Genre: Sadboy,medium,wikipedia_fallback
reunion pop,Eric Wilson (bassist),medium,wikipedia_fallback
musica afroperuana,Música criolla,high,wikidata
brazilian punk,Punk in Brazil,high,wikidata
muzica crestina,,none,unmatched
swedish blues,Europe (band),medium,wikipedia_fallback
worcester ma indie,Marc Bolan,medium,wikipedia_fallback
thai folk,Music of Thailand,medium,wikipedia_fallback
french metal,Misanthrope (band),medium,wikipedia_fallback
sinhala pop,Calypso-style baila,medium,wikipedia_fallback
turkce slow sarkilar,Bangır Bangır,medium,wikipedia_fallback
zen,Zen Arcade,medium,wikipedia_fallback
brazilian hip hop,Brazilian hip-hop,high,wikidata
psychokore,,none,unmatched
syrian pop,Mad Decent,medium,wikipedia_fallback
nordnorsk rap,,none,unmatched
russian orchestra,Trey Spruance,medium,wikipedia_fallback
musica tropical guatemalteca,List of national instruments (music),medium,wikipedia_fallback
swedish underground rap,List of music genres and styles,medium,wikipedia_fallback
japanese pop rap,Chaotic Wonderland,medium,wikipedia_fallback
persian hip hop,Iranian hip-hop,medium,wikipedia_fallback
liberian pop,Music genre,medium,wikipedia_fallback
trival,Tribal guarachero,high,wikidata
lovers rock,Lovers rock,high,wikidata
deep funk house,Deep house,medium,wikipedia_fallback
background music,Film score,high,wikidata
hindustani classical,Hindustani classical music,high,wikidata
mbalax,Mbalax,high,wikidata
musique ancienne,Early music,high,wikidata
south african modern jazz,Music genre,medium,wikipedia_fallback
samba,Samba,high,wikidata
alt z,Alt TikTok,medium,wikipedia_fallback
haitian gospel,Haitian gospel,high,wikidata
musica folk asturiana,Ruma Barbero,medium,wikipedia_fallback
musica sinfonica,Diego Vega,medium,wikipedia_fallback
sunshine pop,Sunshine pop,high,wikidata
stomp and holler,Indie folk,medium,wikipedia_fallback
blues latinoamericano,Latin rock,medium,wikipedia_fallback
musica yucateca,Regional styles of Mexican music,medium,wikipedia_fallback
ranchera,Ranchera,high,wikidata
boston indie,Piebald (band),medium,wikipedia_fallback
modern bollywood,Hindi film music,medium,wikipedia_fallback
russian gangster rap,Drill music,medium,wikipedia_fallback
manipuri pop,Music of India,medium,wikipedia_fallback
dark folk,Neofolk,high,wikidata
supergroup,The Highwaymen,medium,wikipedia_fallback
musica popular amazonense,Pedro Bernal,medium,wikipedia_fallback
scottish indie rock,The Dykeenies,medium,wikipedia_fallback
jangle pop,Jangle pop,high,wikidata
oulu indie,The Cardigans,medium,wikipedia_fallback
military rap,Backfired,medium,wikipedia_fallback
jangle rock,Jangle pop,medium,wikipedia_fallback
christian trap,Trap music,medium,wikipedia_fallback
contemporary gospel,Urban contemporary gospel,high,wikidata
magyar trap,Old Town Road,medium,wikipedia_fallback
polish post-rock,Kury (band),medium,wikipedia_fallback
merengue,Merengue music,high,wikidata
rap paraguayo,2026 in music,medium,wikipedia_fallback
houston rap,Southern hip-hop,medium,wikipedia_fallback
cumbia sonorense,,none,unmatched
fado antigo,Morna (music),medium,wikipedia_fallback
fado de coimbra,Coimbra fado,high,wikidata
australian choir,Music of Estonia,medium,wikipedia_fallback
pretty rhythm,Pretty Rhythm: Rainbow Live,medium,wikipedia_fallback
progressive doom,Doom metal,medium,wikipedia_fallback
italian death metal,Fleshgod Apocalypse,medium,wikipedia_fallback
boston metal,Pat Travers,medium,wikipedia_fallback
southern metal,Southern rock,high,wikidata
finnish metalcore,Snow White's Poison Bite,medium,wikipedia_fallback
chamber choir,Tafelmusik,medium,wikipedia_fallback
anime cv,Emiri Katō,medium,wikipedia_fallback
christian hardcore,Christian hardcore,high,wikidata
boston punk,Hardcore punk,medium,wikipedia_fallback
deep symphonic black metal,Symphonic metal,medium,wikipedia_fallback
german pagan metal,Helrunar,medium,wikipedia_fallback
christian hard rock,Carl Johan Grimmark,medium,wikipedia_fallback
german black metal,Absurd (band),medium,wikipedia_fallback
christian symphonic metal,Promise Land (band),medium,wikipedia_fallback
west virginia metal,List of genres,medium,wikipedia_fallback
metal galego,Celtic music,medium,wikipedia_fallback
experimental percussion,Pub rock (Australia),medium,wikipedia_fallback
indie catracho,,none,unmatched
footwork,Footwork (genre),high,wikidata
trip hop,Trip hop,high,wikidata
dub product,A Product Of... (Participation),medium,wikipedia_fallback
cocuk sarkilari,Fatih Erkoç,medium,wikipedia_fallback
hauntology,Hauntology (music),high,wikidata
german post-rock,Polarkreis 18,medium,wikipedia_fallback
chill groove,Jeff Oster,medium,wikipedia_fallback
belarusian electronic,ROSTANY,medium,wikipedia_fallback
classic tunisian pop,Music genre,medium,wikipedia_fallback
8d,Korean ballad,medium,wikipedia_fallback
alternative dance,Alternative dance,high,wikidata
electroclash,Electroclash,high,wikidata
children's music,Children's music,high,wikidata
leipzig indie,Vaporwave,medium,wikipedia_fallback
salzburg indie,Heavy metal genres,medium,wikipedia_fallback
canadian electronic,Canadian Electronic Ensemble,medium,wikipedia_fallback
techno,Techno,high,wikidata
focus,Stmpd Rcrds,medium,wikipedia_fallback
prepared piano,Prepared piano,medium,wikipedia_fallback
spanish experimental,Crammed Discs,medium,wikipedia_fallback
backing track,Backing track,medium,wikipedia_fallback
experimental poetry,Experimental literature,medium,wikipedia_fallback
new weird finland,List of music genres and styles,medium,wikipedia_fallback
weirdcore,Internet aesthetic,medium,wikipedia_fallback
vintage french electronic,Hauntology (music),medium,wikipedia_fallback
horror synth,Videogram,medium,wikipedia_fallback
champeta,Champeta,high,wikidata
perreo,Sandungueo,medium,wikipedia_fallback
swiss house,Chab,medium,wikipedia_fallback
contemporary jazz,Berlin Contemporary Jazz Orchestra (album),medium,wikipedia_fallback
nightcore,Nightcore,high,wikidata
classic venezuelan pop,Music genre,medium,wikipedia_fallback
musica paraibana,List of best-selling Latin music artists,medium,wikipedia_fallback
norwegian blues,Monica Heldal,medium,wikipedia_fallback
spanish progressive rock,Crack (band),medium,wikipedia_fallback
alternative country,Alternative country,high,wikidata
russian underground rap,List of music genres and styles,medium,wikipedia_fallback
irish fiddle,Irish fiddle,high,wikidata
washboard,Big Joe Williams,medium,wikipedia_fallback
gothic alternative,Heavy metal music,medium,wikipedia_fallback
modern folk rock,Laney Jones,medium,wikipedia_fallback
love live,Love Live! Superstar!!,medium,wikipedia_fallback
christian rock,Christian rock,high,wikidata
lund indie,Burka Band,medium,wikipedia_fallback
indian fusion,Asian Underground,medium,wikipedia_fallback
swansea indie,The Pooh Sticks,medium,wikipedia_fallback
hi-tech,High-tech architecture,medium,wikipedia_fallback
vietnamese singer-songwriter,Hồ Bích Ngọc,medium,wikipedia_fallback
trash rock,Estrus Records,medium,wikipedia_fallback
cantopop,Cantopop,high,wikidata
folklore ecuatoriano,Delfín Quishpe,medium,wikipedia_fallback
indonesian alternative rock,Sheila on 7,medium,wikipedia_fallback
slovak hip hop,Slovak hip-hop,high,wikidata
classic colombian pop,Music genre,medium,wikipedia_fallback
italian gothic,Theatres des Vampires,medium,wikipedia_fallback
azonto,Azonto,high,wikidata
classical piano duo,Bartlett and Robertson,medium,wikipedia_fallback
molam,Mor lam,high,wikidata
west-vlaamse hip hop,Keep On Walkin' (song),medium,wikipedia_fallback
luk thung,Luk thung,high,wikidata
baroque cello,Baroque violin,medium,wikipedia_fallback
spanish classical,Chronological list of Spanish classical composers,medium,wikipedia_fallback
classical contralto,Ursula Zollenkopf,medium,wikipedia_fallback
streektaal,Regio Songfestival,medium,wikipedia_fallback
classic nz country,Lainey Wilson discography,medium,wikipedia_fallback
newfoundland indie,Contemporary folk music,medium,wikipedia_fallback
jazz chileno,Roberto Lecaros,medium,wikipedia_fallback
chicago bop,Plugg,medium,wikipedia_fallback
telugu devotional,Jai Srinivas,medium,wikipedia_fallback
swedish punk,Punk in Sweden,high,wikidata
togolese pop,Trap music,medium,wikipedia_fallback
deep motown,Music genre,medium,wikipedia_fallback
argentine telepop,,none,unmatched
pop quebecois,Music of Quebec,medium,wikipedia_fallback
spanish psychedelic rock,Smash (Spanish band),medium,wikipedia_fallback
rap catala,Nueva canción,medium,wikipedia_fallback
stomp and flutter,List of 2024 albums,medium,wikipedia_fallback
deep psychobilly,List of music genres and styles,medium,wikipedia_fallback
modern southern rock,Music genre,medium,wikipedia_fallback
british orchestra,Music of Hong Kong,medium,wikipedia_fallback
beat italiano,Italian beat,high,wikidata
reggae tico,Paul Simon,medium,wikipedia_fallback
narodna muzika,Balkan folk music,high,wikidata
jota aragonesa,Jota (music),medium,wikipedia_fallback
bachata,Bachata (music),high,wikidata
classic mandopop,Alexander Lee (entertainer),medium,wikipedia_fallback
trot,Trot (music),high,wikidata
shantykoren,,none,unmatched
ghanaian pop,Music of Ghana,medium,wikipedia_fallback
dub,Dub music,high,wikidata
italian tech house,List of music genres and styles,medium,wikipedia_fallback
polish early music,Grzegorz Gerwazy Gorczycki,medium,wikipedia_fallback
texas blues,Texas blues,high,wikidata
nitzhonot,Nitzhonot,high,wikidata
brazilian classical piano,Music genre,medium,wikipedia_fallback
slack-key guitar,Slack-key guitar,medium,wikipedia_fallback
german singer-songwriter,Siegfried Fietz,medium,wikipedia_fallback
bengali folk,Culture of Bangladesh,medium,wikipedia_fallback
spanish pop,List of songs in SingStar games (PlayStation 2),medium,wikipedia_fallback
ethio-jazz,Ethio-jazz,high,wikidata
vintage old-time,Heavy metal genres,medium,wikipedia_fallback
sufi,Sufi music,medium,wikipedia_fallback
memphis americana,Kara Grainger,medium,wikipedia_fallback
indie cristao,Heavy metal genres,medium,wikipedia_fallback
piano rock,Soft rock,high,wikidata
viral pop,Tramp Stamps (band),medium,wikipedia_fallback
brisbane indie,"Teeth Lost, Hearts Won",medium,wikipedia_fallback
sheffield indie,Bromheads Jacket,medium,wikipedia_fallback
modern mod,Free Press Summer Fest,medium,wikipedia_fallback
afropop,African popular music,high,wikidata
samba-enredo,Samba-enredo,high,wikidata
novo rock gaucho,Music of Brazil,medium,wikipedia_fallback
macross,May'n,medium,wikipedia_fallback
pittsburgh rock,Frank Czuri,medium,wikipedia_fallback
arpa paraguaya,María Cristina Gómez Rabito,medium,wikipedia_fallback
north carolina roots,New Moon Shine,medium,wikipedia_fallback
rap mineiro,Hot e Oreia,medium,wikipedia_fallback
deep underground hip hop,East Coast hip-hop,medium,wikipedia_fallback
old school rap francais,Hip-hop,medium,wikipedia_fallback
shoegaze chileno,2024 in music,medium,wikipedia_fallback
mexican hip hop,Mexican hip-hop,high,wikidata
dub techno,Dub techno,high,wikidata
samba moderno,Os Originais do Samba,medium,wikipedia_fallback
russian choir,Global a Go-Go,medium,wikipedia_fallback
piseiro,Pisadinha,medium,wikipedia_fallback
black 'n' roll,Black metal,medium,wikipedia_fallback
heavy alternative,Alternative metal,medium,wikipedia_fallback
epic black metal,Symphonic black metal,medium,wikipedia_fallback
groove metal,Groove metal,high,wikidata
brazilian metal,Music of Brazil,medium,wikipedia_fallback
progressive deathcore,Deathcore,medium,wikipedia_fallback
black metal,Black metal,high,wikidata
metal piauiense,,none,unmatched
finnish hard rock,The 69 Eyes,medium,wikipedia_fallback
slayer,Slayer,medium,wikipedia_fallback
colorado hardcore,Post-hardcore,medium,wikipedia_fallback
danish hardcore,EVRA (band),medium,wikipedia_fallback
vallenato moderno,1970s in Latin music,medium,wikipedia_fallback
canadian pop punk,Treble Charger,medium,wikipedia_fallback
taiwan experimental,Music genre,medium,wikipedia_fallback
world chill,Stars Over Foy,medium,wikipedia_fallback
indian edm,Hasan Raheem,medium,wikipedia_fallback
gothic doom,Gothic metal,high,wikidata
alphorn,Eliana Burki,medium,wikipedia_fallback
psychill,Psybient,high,wikidata
italian library music,Italian occult psychedelia,medium,wikipedia_fallback
experimental indie,Blood Cultures (band),medium,wikipedia_fallback
french synthpop,Active Child,medium,wikipedia_fallback
ninja,Ninja Tune,medium,wikipedia_fallback
sovietwave,Sovietwave,high,wikidata
canadian experimental,Tonetta,medium,wikipedia_fallback
plunderphonics,Plunderphonics,high,wikidata
bardcore,Bardcore,high,wikidata
darbuka,Goblet drum,medium,wikipedia_fallback
deep chill,Tom Schuman,medium,wikipedia_fallback
post-punk colombiano,Music of Colombia,medium,wikipedia_fallback
atmospheric dnb,Atmospheric drum and bass,high,wikidata
tennessee experimental,Noise music,medium,wikipedia_fallback
acid techno,Acid techno,high,wikidata
greek techno,List of music genres and styles,medium,wikipedia_fallback
organic electronic,Sinister Swing,medium,wikipedia_fallback
australian experimental,Papa vs Pretty,medium,wikipedia_fallback
ballroom,Ballroom rumba,medium,wikipedia_fallback
hyperpop,Hyperpop,high,wikidata
theremin,Theremin,medium,wikipedia_fallback
ukrainian folk,Ukrainian folk music,high,wikidata
luxembourgian hip hop,Strawberry Fields Forever,medium,wikipedia_fallback
colombian hip hop,Colombian hip hop,high,wikidata
thai folk pop,Thai pop music,medium,wikipedia_fallback
brega funk,Funk carioca,medium,wikipedia_fallback
new orleans blues,New Orleans blues,high,wikidata
cool jazz,Cool jazz,high,wikidata
hawaiian punk,Don't Back Down (album),medium,wikipedia_fallback
caucasian classical piano,Music of Armenia,medium,wikipedia_fallback
czech punk,The Tower of Dudes,medium,wikipedia_fallback
brazilian emo,O Outro Lado da Porta,medium,wikipedia_fallback
mexican traditional,Botellita de Jerez,medium,wikipedia_fallback
austin americana,Kimmie Rhodes,medium,wikipedia_fallback
desert blues,Desert blues,high,wikidata
punk galego,Celtic music,medium,wikipedia_fallback
chicago blues,Chicago blues,high,wikidata
gospel antigas,Lu Alone,medium,wikipedia_fallback
polish trap,Trap music,medium,wikipedia_fallback
kaneka,Music of New Caledonia,medium,wikipedia_fallback
mambo chileno,Music of Chile,medium,wikipedia_fallback
zim urban groove,Power FM Zimbabwe,medium,wikipedia_fallback
uzbek pop,Bolalar,medium,wikipedia_fallback
kannada pop,Sangeetha Rajeev,medium,wikipedia_fallback
grunge,Grunge,high,wikidata
desi trap,Desi hip-hop,medium,wikipedia_fallback
rap alagoano,,none,unmatched
indonesian shoegaze,List of music genres and styles,medium,wikipedia_fallback
kurdish pop,Zakaria Abdulla,medium,wikipedia_fallback
atl trap,Scam Likely,medium,wikipedia_fallback
old school dancehall,Dancehall pop,medium,wikipedia_fallback
nordic contemporary classical,Music genre,medium,wikipedia_fallback
nadaswaram,List of Carnatic instrumentalists,medium,wikipedia_fallback
italian contemporary jazz,Music genre,medium,wikipedia_fallback
shehnai,Shehnai,medium,wikipedia_fallback
japanese blues,Yoko Kanno,medium,wikipedia_fallback
southeast asian post-rock,List of music genres and styles,medium,wikipedia_fallback
rawstyle,Hardstyle,medium,wikipedia_fallback
punk chileno,Sandinista!,medium,wikipedia_fallback
musica tradicional cubana,Music of Cuba,medium,wikipedia_fallback
australian country,Australian country music,high,wikidata
milwaukee indie,List of rock genres,medium,wikipedia_fallback
amharic pop,2024 in music,medium,wikipedia_fallback
talentos brasileiros,Honorific nicknames in popular music,medium,wikipedia_fallback
mississippi indie,The Cradle (album),medium,wikipedia_fallback
nightrun,Intwine,medium,wikipedia_fallback
italian hip hop,Italian hip-hop,high,wikidata
boston hardcore,Boston hardcore,high,wikidata
japanese emo,Acid (Japanese band),medium,wikipedia_fallback
latin arena pop,Music genre,medium,wikipedia_fallback
deep funk ostentacao,Funk ostentação,medium,wikipedia_fallback
classic praise,Go Mix! Radio,medium,wikipedia_fallback
discofox,Eurodisco,medium,wikipedia_fallback
polish alternative rap,Cloud rap,medium,wikipedia_fallback
moorish traditional,Music of Spain,medium,wikipedia_fallback
oxford choir,Lyra (song),medium,wikipedia_fallback
baluchi folk,Ustad Noor Bakhsh,medium,wikipedia_fallback
latino comedy,Supafloss,medium,wikipedia_fallback
reggae fusion,Reggae fusion,high,wikidata
thai idol,D.AAA,medium,wikipedia_fallback
rap gaucho,YT (rapper),medium,wikipedia_fallback
musica istmena,Dorindo Cárdenas,medium,wikipedia_fallback
swiss reggae,Moonraisers,medium,wikipedia_fallback
psych gaze,Psychedelic music,medium,wikipedia_fallback
mexican tech house,List of music genres and styles,medium,wikipedia_fallback
amapiano,Amapiano,high,wikidata
japanese vtuber,Ui Nema,medium,wikipedia_fallback
metal noir quebecois,Canadian hardcore punk,medium,wikipedia_fallback
sleep,Lacuna Coil,medium,wikipedia_fallback
indie singer-songwriter,Postcards and Daydreaming,medium,wikipedia_fallback
traditional blues,Grammy Award for Best Traditional Blues Album,medium,wikipedia_fallback
musica nicaraguense,Nueva canción,medium,wikipedia_fallback
family gospel,The Kitty Wells Family Gospel Sing,medium,wikipedia_fallback
ragtime,Ragtime,high,wikidata
american classical piano,Ahn Trio,medium,wikipedia_fallback
deep new americana,List of music genres and styles,medium,wikipedia_fallback
israeli trap,Trap music,medium,wikipedia_fallback
festigal,Festigal,medium,wikipedia_fallback
acoustic guitar cover,Country Music Star No. 1,medium,wikipedia_fallback
stoner metal,Stoner rock,high,wikidata
indie punk,Indie rock,medium,wikipedia_fallback
neomelodici,Neomelodic music,medium,wikipedia_fallback
cook islands pop,List of Caribbean music genres,medium,wikipedia_fallback
paisley underground,Paisley Underground,high,wikidata
king of prism,Pretty Rhythm: Rainbow Live,medium,wikipedia_fallback
symphonic metal,Symphonic metal,high,wikidata
salsa colombiana,Los Titanes,medium,wikipedia_fallback
folklore venezolano,Yo tenía diez perritos,medium,wikipedia_fallback
melodic thrash,Thrash metal,medium,wikipedia_fallback
speed metal,Speed metal,high,wikidata
igbo traditional,Igbo music,medium,wikipedia_fallback
colombian hardcore,List of music genres and styles,medium,wikipedia_fallback
sierreno,Sierreño,high,wikidata
melodic death metal,Melodic death metal,high,wikidata
gayageum,Gayageum,medium,wikipedia_fallback
french renaissance,Music history of France,medium,wikipedia_fallback
kinderchor,Friedrich Oberschelp,medium,wikipedia_fallback
folklore quebecois,Music of Quebec,medium,wikipedia_fallback
filter house,French house,high,wikidata
krautrock,Krautrock,high,wikidata
downtempo bass,Everything I Wanted,medium,wikipedia_fallback
deep progressive trance,Trance music,medium,wikipedia_fallback
house,House music,high,wikidata
maldivian pop,Pop Idol,medium,wikipedia_fallback
bitpop,Bitpop,high,wikidata
gamecore,Ravé Mehta,medium,wikipedia_fallback
synth punk,Synth-punk,high,wikidata
indie campechano,,none,unmatched
fidget house,Electro house,medium,wikipedia_fallback
vogue,Vogue (magazine),medium,wikipedia_fallback
musica evangelica instrumental,Diante do Trono,medium,wikipedia_fallback
greek contemporary classical,Music genre,medium,wikipedia_fallback
montreal indie,Oceans Will Rise,medium,wikipedia_fallback
african percussion,Goblet drum,medium,wikipedia_fallback
canadian electropop,Up We Go,medium,wikipedia_fallback
south african electronic,Toya Delazy,medium,wikipedia_fallback
musica roraimense,,none,unmatched
schranz,German electronic music,medium,wikipedia_fallback
coldwave,Cold wave (music),high,wikidata
japanese progressive house,List of music genres and styles,medium,wikipedia_fallback
indie arequipeno,,none,unmatched
techno argentina,List of music genres and styles,medium,wikipedia_fallback
romanian electronic,Voltaj,medium,wikipedia_fallback
rock noise,Noise pop,medium,wikipedia_fallback
power electronics,Power electronics (music genre),high,wikidata
chillwave,Chillwave,high,wikidata
nu electro,Electro (music),medium,wikipedia_fallback
japanese dream pop,Fishmans,medium,wikipedia_fallback
greek clarinet,Dream Harder,medium,wikipedia_fallback
cincinnati rap,Eminem,medium,wikipedia_fallback
taiwanese pop,Hokkien pop,high,wikidata
trap brasileiro,30praum,medium,wikipedia_fallback
deep folk metal,Music genre,medium,wikipedia_fallback
rock abc paulista,1995 in Latin music,medium,wikipedia_fallback
asakaa,O'Kenneth,medium,wikipedia_fallback
mississippi hip hop,Big K.R.I.T.,medium,wikipedia_fallback
baton rouge rap,Fredo Bang,medium,wikipedia_fallback
jackin' house,Jackin house,high,wikidata
aussie drill,Grime music,medium,wikipedia_fallback
musica menorquina,Chiara Oliver,medium,wikipedia_fallback
madrigal,Madrigal,high,wikidata
mandolin,Bluegrass mandolin,medium,wikipedia_fallback
traditional folk,Traditional folk music,high,wikidata
classical piano,Piano,medium,wikipedia_fallback
musica popular uruguaya,Festival Mundial de la Canción Latina,medium,wikipedia_fallback
chicago drill,Chicago drill,high,wikidata
native american spiritual,"Red Dog Saloon (Virginia City, Nevada)",medium,wikipedia_fallback
korean punk,No Brain,medium,wikipedia_fallback
deep melodic metalcore,Melodic metalcore,medium,wikipedia_fallback
apostolic worship,Nathaniel Bassey,medium,wikipedia_fallback
old-time fiddle,Old time fiddle,high,wikidata
world worship,Brave New World (Amanda Cook album),medium,wikipedia_fallback
musica gaucha,Brazilian gaucho music,high,wikidata
argentine punk,Attaque 77,medium,wikipedia_fallback
rap conciencia,Conscious hip hop,high,wikidata
afro dancehall,Nisha Ts,medium,wikipedia_fallback
zambian hip hop,African hip-hop,medium,wikipedia_fallback
panamanian pop,Gaitanes,medium,wikipedia_fallback
alabama rap,Southern hip-hop,medium,wikipedia_fallback
hip hop quebecois,Sans Pression,medium,wikipedia_fallback
sinogaze,,none,unmatched
punta rock,Punta rock,high,wikidata
hungarian black metal,Tormentor (band),medium,wikipedia_fallback
bachata dominicana,Music of Puerto Rico,medium,wikipedia_fallback
rap romantico,Samba,medium,wikipedia_fallback
ghanaian hip hop,Gh hip-hop,medium,wikipedia_fallback
trinidadian reggae,Marlon Asher,medium,wikipedia_fallback
a3,Alabama 3,medium,wikipedia_fallback
belgian jazz,Belgian jazz,high,wikidata
ectofolk,,none,unmatched
acoustic chill,Tears of the Dragon,medium,wikipedia_fallback
hindustani vocal,Bandish,medium,wikipedia_fallback
malayalam pop,Franco Simon,medium,wikipedia_fallback
rock urbano mexicano,List of music genres and styles,medium,wikipedia_fallback
indian singer-songwriter,Prateek Kuhad,medium,wikipedia_fallback
sertanejo,Sertanejo music,high,wikidata
new americana,Halsey (singer),medium,wikipedia_fallback
cape breton indie,Earthworm Heart,medium,wikipedia_fallback
malian blues,Ali Farka Touré,medium,wikipedia_fallback
stoner rock,Stoner rock,high,wikidata
balkan hip hop,Frenkie,medium,wikipedia_fallback
arabic hip hop,Arabic hip-hop,high,wikidata
trap chileno,Polimá Westcoast,medium,wikipedia_fallback
rap marseille,Keny Arkana,medium,wikipedia_fallback
russian dance,Culture of Russia,medium,wikipedia_fallback
bahamian pop,Move It Like This (song),medium,wikipedia_fallback
gospel soul,Songs of Faith (Aretha Franklin album),medium,wikipedia_fallback
musique guadeloupe,Music of Guadeloupe,high,wikidata
funk ostentacao,Funk ostentação,high,wikidata
canadian shoegaze,Nêhiyawak (band),medium,wikipedia_fallback
romanian contemporary classical,Timba Harris,medium,wikipedia_fallback
veena,Veena,medium,wikipedia_fallback
finnish tango,Finnish tango,high,wikidata
swing revival,Swing revival,high,wikidata
classic kollywood,Yogi B,medium,wikipedia_fallback
norwegian folk rock,Gåte,medium,wikipedia_fallback
rock en asturiano,Contigo hasta el final,medium,wikipedia_fallback
anglican liturgy,Anglican church music,high,wikidata
alternative pop rock,Alternative rock,medium,wikipedia_fallback
trap triste,Junior H,medium,wikipedia_fallback
hip hop cubano,Cuban hip-hop,medium,wikipedia_fallback
musique traditionnelle comorienne,,none,unmatched
soda pop,Babyface (musician),medium,wikipedia_fallback
latin surf rock,List of rock genres,medium,wikipedia_fallback
classic bhangra,List of music genres and styles,medium,wikipedia_fallback
kayokyoku,Kayōkyoku,high,wikidata
balkan folk metal,Music genre,medium,wikipedia_fallback
nigerian hip hop,Nigerian hip hop,high,wikidata
turkish folk,Turkish folk music,high,wikidata
kentucky metal,Christian metal,medium,wikipedia_fallback
prog metal,Progressive metal,high,wikidata
swedish power metal,Amaranthe,medium,wikipedia_fallback
blackened deathcore,Deathcore,medium,wikipedia_fallback
norwegian black metal,Early Norwegian black metal scene,high,wikidata
gothic black metal,Gothic metal,medium,wikipedia_fallback
baltic choir,Choirs at Brigham Young University,medium,wikipedia_fallback
cypriot metal,Music genre,medium,wikipedia_fallback
neo-trad metal,List of music genres and styles,medium,wikipedia_fallback
mexican black metal,Music genre,medium,wikipedia_fallback
reading,Otis Redding,medium,wikipedia_fallback
australian death metal,Disembowelment (band),medium,wikipedia_fallback
technical black metal,Demonoir,medium,wikipedia_fallback
melbourne bounce international,List of music genres and styles,medium,wikipedia_fallback
concertina,Concertina,medium,wikipedia_fallback
experimental,Experimental music,high,wikidata
experimental jazz,Avant-garde jazz,medium,wikipedia_fallback
escape room,Escape room video game,medium,wikipedia_fallback
purple sound,Dubstep,medium,wikipedia_fallback
world fusion,World music,medium,wikipedia_fallback
detroit indie,The Muggs,medium,wikipedia_fallback
bagpipe marching band,March (music),medium,wikipedia_fallback
cambodian pop,Pen Ran,medium,wikipedia_fallback
funk rock,Funk rock,high,wikidata
electronic rock,Electronic rock,high,wikidata
troubadour,Troubadour style,medium,wikipedia_fallback
french soundtrack,Des Femmes Disparaissent (soundtrack),medium,wikipedia_fallback
wrestling,Promoter (entertainment),medium,wikipedia_fallback
rock keyboard,New wave music,medium,wikipedia_fallback
afro soul,Afro-soul,high,wikidata
new isolationism,List of music genres and styles,medium,wikipedia_fallback
pinoy traditional,List of music genres and styles,medium,wikipedia_fallback
italian new wave,CCCP - Fedeli alla linea,medium,wikipedia_fallback
atmospheric sludge,Sludge metal,high,wikidata
ambeat,Visayan pop,medium,wikipedia_fallback
polish techno,Luis Gabriel Aguilera,medium,wikipedia_fallback
irish indie,Villagers (band),medium,wikipedia_fallback
